Tamanho,Repeticao,Fonte,Algoritmo,Tempo_s,CO2_kg
100,9,85,Dijkstra Classico,0.00148773193359375,1.0990341596121683e-08
100,9,85,Dijkstra Min-Heap,0.001127481460571289,9.102190190623179e-09
100,9,85,NetworkX Referencia,0.0007104873657226562,7.055440364301217e-09
100,9,42,Dijkstra Classico,0.00146484375,1.0768194203400286e-08
100,9,42,Dijkstra Min-Heap,0.0011060237884521484,8.840643771673334e-09
100,9,42,NetworkX Referencia,0.0010335445404052734,7.885869261486613e-09
100,9,79,Dijkstra Classico,0.0022077560424804688,1.4128738103093232e-08
100,9,79,Dijkstra Min-Heap,0.002386331558227539,1.4971258450060195e-08
100,9,79,NetworkX Referencia,0.0007433891296386719,6.948345313070319e-09
100,9,40,Dijkstra Classico,0.001486063003540039,1.1012405903794125e-08
100,9,40,Dijkstra Min-Heap,0.0011491775512695312,9.193115356225098e-09
100,9,40,NetworkX Referencia,0.0006847381591796875,7.101180043107564e-09
100,10,84,Dijkstra Classico,0.001569986343383789,1.172938305915625e-08
100,10,84,Dijkstra Min-Heap,0.0010867118835449219,9.463767613309804e-09
100,10,84,NetworkX Referencia,0.0007770061492919922,7.269867201725987e-09
100,10,15,Dijkstra Classico,0.0015320777893066406,1.1378153651381257e-08
100,10,15,Dijkstra Min-Heap,0.001672506332397461,1.146150692432272e-08
100,10,15,NetworkX Referencia,0.0010058879852294922,8.248990306451619e-09
100,10,92,Dijkstra Classico,0.0023450851440429688,1.4699902413703214e-08
100,10,92,Dijkstra Min-Heap,0.0011098384857177734,9.383640570757297e-09
100,10,92,NetworkX Referencia,0.0007991790771484375,7.491505329698848e-09
100,10,38,Dijkstra Classico,0.0015859603881835938,1.1656928566376921e-08
100,10,38,Dijkstra Min-Heap,0.0011456012725830078,9.089011262351639e-09
100,10,38,NetworkX Referencia,0.0007309913635253906,6.996675555588531e-09
100,10,64,Dijkstra Classico,0.0014297962188720703,1.1180416211970602e-08
100,10,64,Dijkstra Min-Heap,0.0019872188568115234,1.3883341679740557e-08
100,10,64,NetworkX Referencia,0.0006883144378662109,7.494363892708639e-09
100,11,39,Dijkstra Classico,0.002171754837036133,1.4101574612916529e-08
